run_id,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,write_throughput_mb_s,batch_latency_ms,bg_jobs
1774963559197,1.77496e+09,8,0,0,1584485670,0,0,1,578.289,6.80578,2
1774963559197,1.77496e+09,8,0,0,1584485670,0,0,1,482.788,8.15423,2
1774963559197,1.77496e+09,8,0,0,1584485670,0,0,1,535.004,7.36195,2
1774963559197,1.77496e+09,8,0,0,1584485670,0,0,1,460.093,8.56475,2
1774963559197,1.77496e+09,7,0,0,48105575,0,0,1,378.221,10.4187,2
1774963559197,1.77496e+09,8,0,0,1617531802,0,0,1,99.867,39.4583,2
1774963559197,1.77496e+09,9,0,0,1650240653,0,0,1,553.075,7.12486,2
1774963559197,1.77496e+09,9,0,0,1650240653,0,0,1,571.961,6.8896,2
1774963559197,1.77496e+09,9,0,0,1650240653,0,0,1,146.882,26.8282,2
1774963559197,1.77496e+09,10,0,0,1411629890,0,0,1,36.21,108.826,2
1774963559197,1.77496e+09,11,0,0,1446674221,0,0,1,560.416,7.03153,2
1774963559197,1.77496e+09,11,0,0,1446674221,0,0,1,557.217,7.07189,2
1774963559197,1.77496e+09,11,0,0,1446674221,0,0,1,448.655,8.78311,2
1774963559197,1.77496e+09,13,309932,309932,1515519261,0,10737417,1,9.45272,416.873,2
1774963559197,1.77496e+09,14,681102,371170,1549347842,0,5153959,1,10.4188,378.217,2
1774963559197,1.77496e+09,14,1909740,1228638,1549347842,0,3092375,1,3.18223,1238.31,2
1774963559197,1.77496e+09,5,2681751,772011,111761763,0,0,1,5.05958,778.836,2
1774963559197,1.77496e+09,5,2681751,0,111761763,0,0,1,536.964,7.33863,2
1774963559197,1.77496e+09,5,2681751,0,111761763,0,0,1,556.805,7.07714,2
1774963559197,1.77496e+09,5,2681751,0,111761763,0,0,1,564.924,6.97543,2
1774963559197,1.77496e+09,6,2681751,0,111761763,0,0,1,216.376,18.2117,2
1774963559197,1.77496e+09,7,2681751,0,0,0,0,0,592.319,6.6528,2
1774963559197,1.77496e+09,7,2681751,0,0,0,0,0,569.404,6.92054,2
1774963559197,1.77496e+09,8,2681751,0,669865740,0,0,1,572.117,6.88772,2
1774963559197,1.77496e+09,8,2681751,0,669865740,0,0,1,573.335,6.87309,2
1774963559197,1.77496e+09,8,2681751,0,669865740,0,0,1,585.395,6.738,2
1774963559197,1.77496e+09,8,2681751,0,669865740,0,0,1,99.601,39.602,2
1774963559197,1.77496e+09,8,2681751,0,716255757,0,0,1,27.4907,143.481,2
1774963559197,1.77496e+09,9,2681751,0,761798926,0,0,1,570.434,6.91473,2
1774963559197,1.77496e+09,9,2681751,0,761798926,0,0,1,586.402,6.72644,2
1774963559197,1.77496e+09,9,2681751,0,761798926,0,0,1,577.359,6.83179,2
1774963559197,1.77496e+09,9,2688219,6468,806524874,0,0,1,85.8186,45.962,2
1774963559197,1.77496e+09,9,2688219,0,806524874,0,0,1,30.8561,127.832,2
1774963559197,1.77496e+09,10,2688219,0,872146332,0,0,1,581.247,6.7861,2
1774963559197,1.77496e+09,10,2688219,0,872146332,0,0,1,602.51,6.54661,2
1774963559197,1.77496e+09,11,2688219,0,914962176,0,0,1,595.493,6.62375,2
1774963559197,1.77496e+09,11,2688219,0,914962176,0,0,1,37.85,104.211,2
1774963559197,1.77496e+09,13,5066927,2378708,998490267,0,16777216,1,1.65337,2385.67,6
1774963559197,1.77496e+09,13,5266232,199305,998490267,0,13421772,1,19.1359,206.125,6
1774963559197,1.77496e+09,4,5266232,0,35876363,0,0,1,586.193,6.72883,6
1774963559197,1.77496e+09,4,5266232,0,35876363,0,0,1,29.9841,131.55,6
1774963559197,1.77496e+09,5,5266232,0,35876363,0,0,1,579.614,6.80521,6
1774963559197,1.77496e+09,6,5266232,0,0,0,0,1,489.319,8.061,6
1774963559197,1.77496e+09,6,5266232,0,0,0,0,0,587.855,6.70981,6
1774963559197,1.77496e+09,7,5266232,0,0,0,0,0,607.566,6.49212,6
1774963559197,1.77496e+09,7,5266232,0,0,0,0,0,588.745,6.69967,6
1774963559197,1.77496e+09,8,5266232,0,602107010,0,0,1,570.738,6.91105,6
1774963559197,1.77496e+09,8,5266232,0,602107010,0,0,1,560.238,7.04057,6
1774963559197,1.77496e+09,8,5266232,0,602107010,0,0,1,583.344,6.76171,6
