run_id,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,write_throughput_mb_s,batch_latency_ms,bg_jobs
1774960486004,1.77496e+09,11,13621196,84524,1503967039,0,0,1,42.7768,92.2088,2
1774960486004,1.77496e+09,11,13621196,0,1503967039,0,0,1,525.737,7.5026,2
1774960486004,1.77496e+09,12,13621196,0,1537942899,0,3108903,1,467.517,8.43691,2
1774960486004,1.77496e+09,11,14823126,1201930,1571533575,0,0,1,3.2583,1210.57,2
1774960486004,1.77496e+09,11,14823126,0,1571533575,0,0,1,488.447,8.07538,2
1774960486004,1.77496e+09,11,14823126,0,1571533575,0,0,1,523.715,7.53158,2
1774960486004,1.77496e+09,11,15178068,354942,1604753436,0,0,1,10.8968,361.976,2
1774960486004,1.77496e+09,11,15178068,0,1604753436,0,0,1,594.39,6.63604,2
1774960486004,1.77496e+09,11,15178068,0,1604753436,0,0,1,561.125,7.02944,2
1774960486004,1.77496e+09,11,16876934,1698866,1670129834,0,0,1,2.31246,1705.71,2
1774960486004,1.77496e+09,11,16876934,0,1670129834,0,0,1,588.511,6.70234,2
1774960486004,1.77496e+09,11,16876934,0,1670129834,0,0,1,544.613,7.24257,2
1774960486004,1.77496e+09,11,17536516,659582,1702309054,0,0,1,5.91879,666.419,2
1774960486004,1.77496e+09,11,17536516,0,1702309054,0,0,1,568.893,6.93346,2
1774960486004,1.77496e+09,11,17536516,0,1702309054,0,0,1,537.68,7.33596,2
1774960486004,1.77496e+09,11,19065732,1529216,1765705187,0,0,1,2.56615,1537.09,2
1774960486004,1.77496e+09,11,19065732,0,1765705187,0,0,1,421.197,9.36473,2
1774960486004,1.77496e+09,11,19065732,0,1765705187,0,0,1,547.549,7.20374,2
1774960486004,1.77496e+09,11,19358369,292637,1796939451,0,0,1,13.1743,299.402,2
1774960486004,1.77496e+09,11,19358369,0,1796939451,0,0,1,600.898,6.56417,2
1774960486004,1.77496e+09,11,19358369,0,1796939451,0,0,1,485.942,8.11701,2
1774960486004,1.77496e+09,12,20680756,1322387,1858532013,0,3141837,1,2.96443,1330.57,2
1774960486004,1.77496e+09,11,20680756,0,1858529906,0,0,1,542.879,7.26571,2
1774960486004,1.77496e+09,11,20680756,0,1858529906,0,0,1,544.298,7.24676,2
1774960486004,1.77496e+09,12,20680756,0,1888905790,0,4398571,1,521.01,7.57068,2
1774960486004,1.77496e+09,12,21861449,1180693,1919009537,0,3518855,1,3.32141,1187.57,2
1774960486004,1.77496e+09,11,21880856,19407,1919007296,0,0,1,145.924,27.0306,2
1774960486004,1.77496e+09,11,21880856,0,1919007296,0,0,1,527.319,7.4801,2
1774960486004,1.77496e+09,11,21880856,0,1919007296,0,0,1,510.296,7.72963,2
1774960486004,1.77496e+09,12,23198650,1317794,1978438929,0,3152892,1,2.97748,1324.75,2
1774960486004,1.77496e+09,11,23257288,58638,1978439119,0,0,1,58.3113,67.6438,2
1774960486004,1.77496e+09,11,23257288,0,1978439119,0,0,1,410.362,9.61198,2
1774960486004,1.77496e+09,11,23558379,301091,2007779755,0,0,1,12.8035,308.071,2
1774960486004,1.77496e+09,11,23558379,0,2007779755,0,0,1,439.899,8.96659,2
1774960486004,1.77496e+09,11,23558379,0,2007779755,0,0,1,475.333,8.29818,2
1774960486004,1.77496e+09,11,24361476,803097,2065748250,0,0,1,4.85968,811.657,2
1774960486004,1.77496e+09,11,24361476,0,2065748250,0,0,1,462.033,8.53705,2
